"Note: Current data is only available till 2017.
"
"Citation: Lawrence H. Officer and Samuel H. Williamson, 'The Price of Gold, 1257-2014,' MeasuringWorth, 2018. "
"Year","New York Market Price (U.S. dollars per fine ounce)"
"1791","19.39"
"1792","19.39"
"1793","19.39"
"1794","19.39"
"1795","19.39"
"1796","19.39"
"1797","19.39"
"1798","19.39"
"1799","19.39"
"1800","19.39"
"1801","19.39"
"1802","19.39"
"1803","19.39"
"1804","19.39"
"1805","19.39"
"1806","19.39"
"1807","19.39"
"1808","19.39"
"1809","19.39"
"1810","19.39"
"1811","19.39"
"1812","19.39"
"1813","19.39"
"1814","20.10"
"1815","21.64"
"1816","20.95"
"1817","19.46"
"1818","19.39"
"1819","19.39"
"1820","19.39"
"1821","19.39"
"1822","19.39"
"1823","19.39"
"1824","19.39"
"1825","19.39"
"1826","19.39"
"1827","19.39"
"1828","19.39"
"1829","19.39"
"1830","19.39"
"1831","19.39"
"1832","19.39"
"1833","19.39"
"1834","19.94"
"1835","20.69"
"1836","20.69"
"1837","21.64"
"1838","20.86"
"1839","20.67"
"1840","20.67"
"1841","20.67"
"1842","20.67"
"1843","20.67"
"1844","20.67"
"1845","20.67"
"1846","20.67"
"1847","20.67"
"1848","20.67"
"1849","20.67"
"1850","20.67"
"1851","20.67"
"1852","20.67"
"1853","20.67"
"1854","20.67"
"1855","20.67"
"1856","20.67"
"1857","20.70"
"1858","20.67"
"1859","20.67"
"1860","20.67"
"1861","20.67"
"1862","23.42"
"1863","30.02"
"1864","42.03"
"1865","32.52"
"1866","29.13"
"1867","28.57"
"1868","28.88"
"1869","27.49"
"1870","23.75"
"1871","23.09"
"1872","23.24"
"1873","23.52"
"1874","22.99"
"1875","23.75"
"1876","23.05"
"1877","21.66"
"1878","20.84"
"1879","20.67"
"1880","20.67"
"1881","20.67"
"1882","20.67"
"1883","20.67"
"1884","20.67"
"1885","20.67"
"1886","20.67"
"1887","20.67"
"1888","20.67"
"1889","20.67"
"1890","20.67"
"1891","20.67"
"1892","20.67"
"1893","20.67"
"1894","20.67"
"1895","20.67"
"1896","20.67"
"1897","20.67"
"1898","20.67"
"1899","20.67"
"1900","20.67"
"1901","20.67"
"1902","20.67"
"1903","20.67"
"1904","20.67"
"1905","20.67"
"1906","20.67"
"1907","20.67"
"1908","20.67"
"1909","20.67"
"1910","20.67"
"1911","20.67"
"1912","20.67"
"1913","20.67"
"1914","20.67"
"1915","20.67"
"1916","20.67"
"1917","20.67"
"1918","20.67"
"1919","20.67"
"1920","20.67"
"1921","20.67"
"1922","20.67"
"1923","20.67"
"1924","20.67"
"1925","20.67"
"1926","20.67"
"1927","20.67"
"1928","20.67"
"1929","20.67"
"1930","20.67"
"1931","20.67"
"1932","20.67"
"1933","24.44"
"1934","34.94"
"1935","35.00"
"1936","35.00"
"1937","35.00"
"1938","35.00"
"1939","35.00"
"1940","35.00"
"1941","35.00"
"1942","35.00"
"1943","35.00"
"1944","35.00"
"1945","35.00"
"1946","35.00"
"1947","35.00"
"1948","35.00"
"1949","35.00"
"1950","35.00"
"1951","35.00"
"1952","35.00"
"1953","35.00"
"1954","35.00"
"1955","35.00"
"1956","35.00"
"1957","35.00"
"1958","35.00"
"1959","35.00"
"1960","35.00"
"1961","35.00"
"1962","35.00"
"1963","35.00"
"1964","35.00"
"1965","35.00"
"1966","35.00"
"1967","35.00"
"1968","39.26"
"1969","41.51"
"1970","36.41"
"1971","41.25"
"1972","58.60"
"1973","97.81"
"1974","159.74"
"1975","161.49"
"1976","125.32"
"1977","148.31"
"1978","193.55"
"1979","307.50"
"1980","612.56"
"1981","459.64"
"1982","375.91"
"1983","424.00"
"1984","360.66"
"1985","317.66"
"1986","368.24"
"1987","447.95"
"1988","438.31"
"1989","382.58"
"1990","384.93"
"1991","363.29"
"1992","344.97"
"1993","360.91"
"1994","385.42"
"1995","385.50"
"1996","389.09"
"1997","332.39"
"1998","295.24"
"1999","279.91"
"2000","280.10"
"2001","272.22"
"2002","311.33"
"2003","364.80"
"2004","410.52"
"2005","446.00"
"2006","606.00"
"2007","699.00"
"2008","874.00"
"2009","975.00"
"2010","1,227.00"
"2011","1,572.00"
"2012","1,700.00"
"2013","1,415.00"
"2014","1,269.00"
"2015","1,163.00"
"2016","1,252.00"
"2017","1,260.00"
